,Paises,Quantidade
0,Australia,564
1,Bahrain,9
2,Bangladesh,226
3,Belize,4
4,Brazil,16
5,Canada,1
6,Chile,9
7,China,387
8,Colombia,2
9,Cote d'Ivoire,2
10,Czech Republic,23
11,Egypt,150
12,France,90
13,Georgia,8
14,Germany,73
15,Ghana,8
16,Greece,97
17,Guam,3
18,Guatemala,10
19,Haiti,2
20,Hong Kong,21
21,India,471
22,Iran,4
23,Iraq,27
24,Israel,2
25,Italy,25
26,Jamaica,8
27,Japan,5
28,Jordan,33
29,Kazakhstan,4
30,Kenya,8
31,Lebanon,4
32,Malaysia,19
33,Mexico,26
34,Morocco,9
35,Nepal,1
36,Netherlands,4
37,New Zealand,1
38,Nigeria,1
39,Oman,3
40,Pakistan,4
41,Peru,1
42,Philippines,23
43,Poland,31
44,Puerto Rico,7
45,Qatar,3
46,Russia,3
47,Saudi Arabia,239
48,Serbia,15
49,Sierra Leone,10
50,South Africa,1
51,South Korea,28
52,Spain,24
53,Sri Lanka,4
54,Sweden,1
55,Taiwan,31
56,Thailand,22
57,Timor-Leste,8
58,Tunisia,7
59,Turkey,34
60,USA,9570
61,United Arab Emirates,20
62,United Kingdom,9
63,Uruguay,1
64,Venezuela,5
65,Viet Nam,2
66,Zambia,1
